company,rating,market,revenue,growth,market_num
Yandex,1,"Экосистема, Social Networks, Edtech, Fintech, Videotech, Business process automation, Sharing, Traveltech, VoiceTech, E-com","1095,00","+109,9%",10
Т-Банк,2,"Экосистема, Fintech, TravelTech, Telecom, Edtech, VoiceTech","962,00","+162,8%",6
Wildberries,3,"Экосистема, E-com, TravelTech, Fintech","657,50 *","+107,3%",4
Ozon,4,"Экосистема, E-com, Traveltech, Fintech","615,70","+122,2%",4
Ростелеком (цифровые активы),5,"Экосистема, Telecom, Gametech,  Edtech","341,40 *","+30,9%",4
Сбер (цифровые активы),6,"Экосистема,  Fintech, Videotech, E-com, Transporttech,  Medtech, VoiceTech, Edtech, Traveltech","283,30 *","+106,9%",9
ИТ-холдинг Т1,7,IT-услуги,"249,56","+69,4%",1
МТС (цифровые активы),8,"Экосистема, Telecom, Fintech, VideoTech","194,65 *","+118,0%",4
VK,9,"Экосистема, Social Networks, Edtech, Fintech, Videotech, Business process automation","147,60","+50,9%",6
ИКС Холдинг (цифровые активы),10,IT-услуги,"140,00 *","+197,2%",1
ГК Softline,11,IT-услуги,"120,64","+70,7%",1
Авито,12,"E-Com, Classified","120,00 *","+86,3%",2
Isource,13,"IT-услуги, E-com","108,33","+579,3%",2
Lamoda,14,E-com,"107,24","+74,9%",1
ЭР-Телеком,15,"IT-услуги, Telecom","104,58","+63,9%",2
1С,16,IT-услуги,"75,00 *","+15,6%",1
Лаборатория Касперского,17,Cybersecurity,"74,00 *","+43,7%",1
Концерн Телематика,18,"IT-услуги, Transporttech","65,00","+208,1%",2
Росатом (цифровые активы),19,IT-услуги,"60,00","+95,4%",1
ГК «ЛАНИТ»:,20,IT-услуги,"56,48 *","+102,3%",1
Точка банк,21,Fintech,"53,58","+180,2%",1
Айтеко,22,IT-услуги,"48,00","+55,4%",1
Группа Рубитех,23,"IT-услуги, ИТ-инфраструктура, Cybersecurity","44,60 *","+44,2%",3
ГК СКБ Контур,24,"IT-услуги, Business process automation","40,40","+53,0%",2
Лига Цифровой Экономики,25,IT-услуги,"40,00","+28,6%",1
HH.ru,26,HRtech,"39,60",+120%,1
Инфосистемы Джет,27,IT-услуги,"36,72","+43,2%",1
ГК Леста Игры,28,Gametech,"35,00","+821,1%",1
Газинформсервис,29,Cybersecurity,"33,33","+114,3%",1
Крок,30,IT-услуги,"32,00 *","+26,9%",1
Sitronics Group,31,"IT-услуги, Transporttech","31,50","-16,1%",2
Делимобиль,32,Sharing,"27,90",+86%,1
Positive Technologies,33,Cybersecurity,"24,50","+77,9%",1
НВБС,34,IT-услуги,"23,95","+558,5%",1
Иви,35,VideoTech,"22,93","+80,0%",1
ГК Базовые решения,36,IT-услуги,"21,95",+0%,1
К2Тех,37,IT-услуги,"20,10","+158,1%",1
Группа Астра,38,IT-услуги,"20,04","+212,3%",1
Innostage,39,Cybersecurity,"18,60","+62,0%",1
IBS,40,IT-услуги,"18,13","+2,4%",1
Saby (Тензор),41,Business process automation,"17,40 *","+59,7%",1
Эвотор,42,Fintech,"16,97","+47,6%",1
ИнфоТеКС,43,Cybersecurity,"16,44","+91,2%",1
ВС Лаб,44,IT-услуги,"15,21 *","+91,1%",1
Актион,45,Edtech,"15,00 *","+28,1%",1
Edna,46,Martech,"14,72","+63,9%",1
Первый Бит,47,"IT-услуги, Business process automation","14,51 *","+62,9%",2
